transaction_datetime,customer_id,location,product_name,category,size_cm,weight_kg,quantity,unit_price,discount,total_amount,payment_method,day_of_year,cost_price,profit,transaction_month,transaction_year
2018-01-01 17:34:00,67,3,Small Axe,Hand Tools,35,1.5,5,30.0,15,128,Cash,1,12,68,1,2018
2018-01-01 09:28:00,49,9,Battle Axe,Combat Tools,95,10.0,2,120.0,15,204,Mobile Payment,1,48,108,1,2018
2018-01-01 18:57:00,20,5,Battle Axe,Combat Tools,95,10.0,5,120.0,15,510,Mobile Payment,1,48,270,1,2018
2018-01-01 09:43:00,44,5,Large Axe,Outdoor Equipment,75,6.0,5,80.0,15,340,Credit Card,1,32,180,1,2018
2018-01-01 10:01:00,26,13,Large Axe,Outdoor Equipment,75,6.0,3,80.0,15,204,Credit Card,1,32,108,1,2018
2018-01-01 13:23:00,56,2,Battle Axe,Combat Tools,95,10.0,4,120.0,15,408,Mobile Payment,1,48,216,1,2018
2018-01-01 15:35:00,24,2,Large Axe,Outdoor Equipment,75,6.0,2,80.0,15,136,Cash,1,32,72,1,2018
2018-01-01 14:43:00,85,9,Large Axe,Outdoor Equipment,75,6.0,3,80.0,15,204,Mobile Payment,1,32,108,1,2018
2018-01-01 18:33:00,45,7,Medium Axe,Hand Tools,55,3.0,4,50.0,15,170,Cash,1,20,90,1,2018
2018-01-03 18:57:00,95,6,Small Axe,Hand Tools,35,1.5,4,30.0,15,102,Mobile Payment,3,12,54,1,2018
2018-01-03 11:36:00,60,1,Battle Axe,Combat Tools,95,10.0,2,120.0,15,204,Mobile Payment,3,48,108,1,2018
2018-01-03 14:09:00,48,14,Battle Axe,Combat Tools,95,10.0,1,120.0,15,102,Cash,3,48,54,1,2018
2018-01-03 12:23:00,46,3,Small Axe,Hand Tools,35,1.5,2,30.0,15,51,Credit Card,3,12,27,1,2018
2018-01-03 11:52:00,40,6,Medium Axe,Hand Tools,55,3.0,5,50.0,15,212,Mobile Payment,3,20,112,1,2018
2018-01-03 16:39:00,84,8,Battle Axe,Combat Tools,95,10.0,3,120.0,15,306,Credit Card,3,48,162,1,2018
2018-01-03 15:07:00,81,14,Battle Axe,Combat Tools,95,10.0,1,120.0,15,102,Cash,3,48,54,1,2018
2018-01-03 12:23:00,90,7,Small Axe,Hand Tools,35,1.5,2,30.0,15,51,Credit Card,3,12,27,1,2018
2018-01-03 14:21:00,98,6,Small Axe,Hand Tools,35,1.5,4,30.0,15,102,Credit Card,3,12,54,1,2018
2018-01-05 17:01:00,64,13,Medium Axe,Hand Tools,55,3.0,5,50.0,15,212,Cash,5,20,112,1,2018
2018-01-05 16:20:00,33,0,Battle Axe,Combat Tools,95,10.0,2,120.0,15,204,Mobile Payment,5,48,108,1,2018
2018-01-05 13:02:00,62,0,Battle Axe,Combat Tools,95,10.0,2,120.0,15,204,Mobile Payment,5,48,108,1,2018
2018-01-05 18:34:00,28,11,Small Axe,Hand Tools,35,1.5,5,30.0,15,128,Cash,5,12,68,1,2018
2018-01-05 18:14:00,39,9,Battle Axe,Combat Tools,95,10.0,3,120.0,15,306,Mobile Payment,5,48,162,1,2018
2018-01-05 13:30:00,63,1,Medium Axe,Hand Tools,55,3.0,1,50.0,15,42,Credit Card,5,20,22,1,2018
2018-01-05 15:26:00,59,12,Small Axe,Hand Tools,35,1.5,5,30.0,15,128,Mobile Payment,5,12,68,1,2018
2018-01-05 14:20:00,76,14,Medium Axe,Hand Tools,55,3.0,1,50.0,15,42,Mobile Payment,5,20,22,1,2018
2018-01-05 09:00:00,25,8,Small Axe,Hand Tools,35,1.5,1,30.0,15,26,Mobile Payment,5,12,14,1,2018
2018-01-05 09:51:00,32,2,Battle Axe,Combat Tools,95,10.0,3,120.0,15,306,Credit Card,5,48,162,1,2018
2018-01-05 14:33:00,66,13,Battle Axe,Combat Tools,95,10.0,3,120.0,15,306,Credit Card,5,48,162,1,2018
2018-01-05 17:08:00,32,1,Large Axe,Outdoor Equipment,75,6.0,4,80.0,15,272,Mobile Payment,5,32,144,1,2018
2018-01-07 10:54:00,66,4,Battle Axe,Combat Tools,95,10.0,3,120.0,15,306,Cash,7,48,162,1,2018
2018-01-07 11:29:00,84,0,Large Axe,Outdoor Equipment,75,6.0,3,80.0,15,204,Credit Card,7,32,108,1,2018
2018-01-07 13:18:00,40,5,Small Axe,Hand Tools,35,1.5,1,30.0,15,26,Credit Card,7,12,14,1,2018
2018-01-07 16:28:00,100,2,Battle Axe,Combat Tools,95,10.0,1,120.0,15,102,Mobile Payment,7,48,54,1,2018
2018-01-07 13:14:00,62,4,Battle Axe,Combat Tools,95,10.0,2,120.0,15,204,Cash,7,48,108,1,2018
2018-01-07 14:18:00,30,12,Small Axe,Hand Tools,35,1.5,2,30.0,15,51,Credit Card,7,12,27,1,2018
2018-01-07 14:47:00,72,4,Large Axe,Outdoor Equipment,75,6.0,3,80.0,15,204,Mobile Payment,7,32,108,1,2018
2018-01-07 09:12:00,80,12,Battle Axe,Combat Tools,95,10.0,5,120.0,15,510,Mobile Payment,7,48,270,1,2018
2018-01-07 09:36:00,62,14,Battle Axe,Combat Tools,95,10.0,2,120.0,15,204,Credit Card,7,48,108,1,2018
2018-01-09 18:43:00,22,5,Medium Axe,Hand Tools,55,3.0,1,50.0,15,42,Cash,9,20,22,1,2018
2018-01-09 14:13:00,42,12,Large Axe,Outdoor Equipment,75,6.0,3,80.0,15,204,Credit Card,9,32,108,1,2018
