transaction_datetime,customer_id,location,product_name,category,size_cm,weight_kg,quantity,unit_price,discount,total_amount,payment_method,day_of_year,cost_price,profit,transaction_month,transaction_year
2018-01-01 13:46:00,80,3,Small Axe,Hand Tools,35,1.5,15,30.0,44,252,Credit Card,1,12,72.0,1,2018
2018-01-01 09:53:00,91,12,Battle Axe,Combat Tools,95,10.0,15,120.0,44,1008,Credit Card,1,48,288.0,1,2018
2018-01-01 15:20:00,91,10,Medium Axe,Hand Tools,55,3.0,13,50.0,44,364,Credit Card,1,20,104.0,1,2018
2018-01-01 09:58:00,23,7,Small Axe,Hand Tools,35,1.5,11,30.0,44,185,Cash,1,12,53.0,1,2018
2018-01-01 13:53:00,29,1,Battle Axe,Combat Tools,95,10.0,13,120.0,44,874,Credit Card,1,48,250.0,1,2018
2018-01-01 17:00:00,34,4,Large Axe,Outdoor Equipment,75,6.0,11,80.0,44,493,Mobile Payment,1,32,141.0,1,2018
2018-01-01 15:33:00,27,7,Battle Axe,Combat Tools,95,10.0,13,120.0,44,874,Credit Card,1,48,250.0,1,2018
2018-01-01 11:08:00,65,7,Battle Axe,Combat Tools,95,10.0,11,120.0,44,739,Credit Card,1,48,211.0,1,2018
2018-01-01 12:00:00,42,13,Battle Axe,Combat Tools,95,10.0,15,120.0,44,1008,Mobile Payment,1,48,288.0,1,2018
2018-01-02 18:34:00,58,4,Small Axe,Hand Tools,35,1.5,9,30.0,44,151,Credit Card,2,12,43.0,1,2018
2018-01-02 15:38:00,62,0,Large Axe,Outdoor Equipment,75,6.0,15,80.0,44,672,Mobile Payment,2,32,192.0,1,2018
2018-01-02 14:42:00,23,0,Battle Axe,Combat Tools,95,10.0,13,120.0,44,874,Cash,2,48,250.0,1,2018
2018-01-02 09:51:00,82,11,Large Axe,Outdoor Equipment,75,6.0,11,80.0,44,493,Mobile Payment,2,32,141.0,1,2018
2018-01-02 16:22:00,28,0,Small Axe,Hand Tools,35,1.5,15,30.0,44,252,Mobile Payment,2,12,72.0,1,2018
2018-01-02 17:08:00,46,13,Small Axe,Hand Tools,35,1.5,11,30.0,44,185,Cash,2,12,53.0,1,2018
2018-01-02 16:27:00,85,9,Large Axe,Outdoor Equipment,75,6.0,9,80.0,44,403,Mobile Payment,2,32,115.0,1,2018
2018-01-02 16:25:00,21,12,Battle Axe,Combat Tools,95,10.0,9,120.0,44,605,Credit Card,2,48,173.0,1,2018
2018-01-02 11:49:00,48,13,Battle Axe,Combat Tools,95,10.0,13,120.0,44,874,Mobile Payment,2,48,250.0,1,2018
2018-01-02 18:29:00,85,7,Battle Axe,Combat Tools,95,10.0,15,120.0,44,1008,Credit Card,2,48,288.0,1,2018
2018-01-02 11:50:00,62,12,Battle Axe,Combat Tools,95,10.0,11,120.0,44,739,Mobile Payment,2,48,211.0,1,2018
2018-01-04 16:31:00,90,10,Large Axe,Outdoor Equipment,75,6.0,15,80.0,44,672,Credit Card,4,32,192.0,1,2018
2018-01-04 15:31:00,82,14,Battle Axe,Combat Tools,95,10.0,9,120.0,44,605,Cash,4,48,173.0,1,2018
2018-01-04 18:13:00,61,11,Battle Axe,Combat Tools,95,10.0,11,120.0,44,739,Credit Card,4,48,211.0,1,2018
2018-01-04 15:42:00,77,2,Large Axe,Outdoor Equipment,75,6.0,13,80.0,44,582,Credit Card,4,32,166.0,1,2018
2018-01-04 12:14:00,29,14,Small Axe,Hand Tools,35,1.5,15,30.0,44,252,Mobile Payment,4,12,72.0,1,2018
2018-01-04 13:01:00,42,4,Small Axe,Hand Tools,35,1.5,11,30.0,44,185,Cash,4,12,53.0,1,2018
2018-01-04 18:05:00,20,9,Medium Axe,Hand Tools,55,3.0,11,50.0,44,308,Cash,4,20,88.0,1,2018
2018-01-04 10:38:00,59,4,Large Axe,Outdoor Equipment,75,6.0,15,80.0,44,672,Credit Card,4,32,192.0,1,2018
2018-01-04 10:58:00,44,5,Medium Axe,Hand Tools,55,3.0,13,50.0,44,364,Credit Card,4,20,104.0,1,2018
2018-01-04 13:28:00,66,2,Battle Axe,Combat Tools,95,10.0,11,120.0,44,739,Mobile Payment,4,48,211.0,1,2018
2018-01-05 16:47:00,63,12,Battle Axe,Combat Tools,95,10.0,13,120.0,44,874,Cash,5,48,250.0,1,2018
2018-01-05 13:53:00,73,12,Battle Axe,Combat Tools,95,10.0,11,120.0,44,739,Credit Card,5,48,211.0,1,2018
2018-01-05 13:07:00,27,12,Battle Axe,Combat Tools,95,10.0,9,120.0,44,605,Mobile Payment,5,48,173.0,1,2018
2018-01-05 15:01:00,25,5,Medium Axe,Hand Tools,55,3.0,15,50.0,44,420,Cash,5,20,120.0,1,2018
2018-01-05 09:42:00,54,7,Battle Axe,Combat Tools,95,10.0,9,120.0,44,605,Credit Card,5,48,173.0,1,2018
2018-01-05 11:26:00,49,6,Large Axe,Outdoor Equipment,75,6.0,13,80.0,44,582,Mobile Payment,5,32,166.0,1,2018
2018-01-05 13:51:00,100,4,Battle Axe,Combat Tools,95,10.0,9,120.0,44,605,Credit Card,5,48,173.0,1,2018
2018-01-05 16:59:00,56,4,Small Axe,Hand Tools,35,1.5,13,30.0,44,218,Mobile Payment,5,12,62.0,1,2018
2018-01-05 12:11:00,51,14,Battle Axe,Combat Tools,95,10.0,15,120.0,44,1008,Mobile Payment,5,48,288.0,1,2018
2018-01-07 13:34:00,50,10,Medium Axe,Hand Tools,55,3.0,9,50.0,44,252,Cash,7,20,72.0,1,2018
2018-01-07 17:45:00,27,4,Battle Axe,Combat Tools,95,10.0,13,120.0,44,874,Credit Card,7,48,250.0,1,2018
2018-01-07 16:06:00,99,13,Small Axe,Hand Tools,35,1.5,13,30.0,44,218,Credit Card,7,12,62.0,1,2018
2018-01-07 16:37:00,95,5,Battle Axe,Combat Tools,95,10.0,15,120.0,44,1008,Cash,7,48,288.0,1,2018
2018-01-07 12:37:00,86,10,Medium Axe,Hand Tools,55,3.0,15,50.0,44,420,Credit Card,7,20,120.0,1,2018
2018-01-07 17:37:00,45,4,Medium Axe,Hand Tools,55,3.0,15,50.0,44,420,Credit Card,7,20,120.0,1,2018
2018-01-07 10:03:00,39,11,Large Axe,Outdoor Equipment,75,6.0,13,80.0,44,582,Cash,7,32,166.0,1,2018
2018-01-07 13:31:00,28,3,Small Axe,Hand Tools,35,1.5,13,30.0,44,218,Mobile Payment,7,12,62.0,1,2018
2018-01-07 12:47:00,60,0,Large Axe,Outdoor Equipment,75,6.0,13,80.0,44,582,Mobile Payment,7,32,166.0,1,2018
2018-01-07 17:55:00,34,3,Large Axe,Outdoor Equipment,75,6.0,13,80.0,44,582,Credit Card,7,32,166.0,1,2018
2018-01-07 09:32:00,99,13,Battle Axe,Combat Tools,95,10.0,9,120.0,44,605,Mobile Payment,7,48,173.0,1,2018
2018-01-07 12:58:00,82,4,Large Axe,Outdoor Equipment,75,6.0,13,80.0,44,582,Credit Card,7,32,166.0,1,2018
2018-01-08 15:11:00,78,0,Large Axe,Outdoor Equipment,75,6.0,9,80.0,44,403,Cash,8,32,115.0,1,2018
2018-01-08 11:20:00,41,9,Battle Axe,Combat Tools,95,10.0,11,120.0,44,739,Credit Card,8,48,211.0,1,2018
2018-01-08 18:04:00,84,0,Medium Axe,Hand Tools,55,3.0,13,50.0,44,364,Credit Card,8,20,104.0,1,2018
2018-01-08 15:27:00,24,9,Battle Axe,Combat Tools,95,10.0,13,120.0,44,874,Cash,8,48,250.0,1,2018
2018-01-08 10:59:00,73,14,Medium Axe,Hand Tools,55,3.0,15,50.0,44,420,Mobile Payment,8,20,120.0,1,2018
2018-01-08 10:16:00,96,6,Large Axe,Outdoor Equipment,75,6.0,11,80.0,44,493,Credit Card,8,32,141.0,1,2018
2018-01-08 11:53:00,63,13,Battle Axe,Combat Tools,95,10.0,13,120.0,44,874,Mobile Payment,8,48,250.0,1,2018
2018-01-08 14:49:00,48,3,Medium Axe,Hand Tools,55,3.0,11,50.0,44,308,Mobile Payment,8,20,88.0,1,2018
2018-01-10 16:15:00,46,5,Large Axe,Outdoor Equipment,75,6.0,13,80.0,44,582,Mobile Payment,10,32,166.0,1,2018
2018-01-10 15:41:00,34,7,Small Axe,Hand Tools,35,1.5,13,30.0,44,218,Cash,10,12,62.0,1,2018
